,,"Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at birth (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)","Healthy life expectancy (HALE) at age 60 (years)"
"Country","Year","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Ecuador","2016","76.5","74.1","78.9","22.8","21.5","23.9","67.9","66.1","69.7","17.8","16.9","18.7"
"Egypt","2016","70.5","68.2","73.0","16.9","15.5","18.1","61.1","59.9","62.4","12.0","11.3","12.7"
"El Salvador","2016","73.7","69.0","78.1","21.9","20.4","23.1","65.5","61.7","69.0","16.9","15.8","17.8"
"Equatorial Guinea","2016","59.5","57.9","61.7","16.8","16.2","17.5","53.8","52.5","55.3","13.6","12.9","14.4"
"Eritrea","2016","65.0","62.9","67.1","16.4","15.4","17.3","57.4","56.0","59.0","13.2","12.7","13.7"
"Estonia","2016","77.8","73.0","82.1","22.2","18.8","24.8","68.2","64.6","71.4","16.9","14.3","18.9"
"Eswatini","2016","57.7","55.1","59.9","16.0","14.6","17.0","50.2","47.8","52.2","11.5","10.1","12.5"
"Ethiopia","2016","65.5","63.7","67.3","18.1","17.4","18.8","57.5","56.1","58.9","13.5","13.0","14.0"
"Fiji","2016","69.9","67.1","73.1","17.2","15.4","19.1","61.3","59.6","63.3","12.7","11.6","13.9"
"Finland","2016","81.4","78.7","84.2","24.2","22.2","26.1","71.7","69.8","73.5","19.0","17.4","20.4"
"France","2016","82.9","80.1","85.7","25.9","23.8","27.9","73.4","71.8","74.9","20.6","19.1","21.9"
"Gabon","2016","66.4","64.8","68.2","18.3","17.5","19.1","58.7","57.8","59.7","13.9","13.4","14.5"
"Gambia","2016","61.9","60.6","63.3","15.3","14.7","16.0","54.4","53.7","55.2","11.7","11.3","12.2"
"Georgia","2016","72.6","68.3","76.8","18.3","15.9","20.3","64.9","61.5","68.4","14.6","12.7","16.2"
"Germany","2016","81.0","78.7","83.3","23.6","21.8","25.3","71.6","70.2","73.0","18.6","17.3","19.8"
"Ghana","2016","63.4","62.5","64.4","15.7","15.2","16.2","56.4","55.8","57.0","12.3","11.8","12.8"
"Greece","2016","81.2","78.7","83.7","23.9","22.1","25.5","72.0","70.5","73.6","18.8","17.5","20.1"
"Grenada","2016","73.4","71.0","75.9","19.1","17.8","20.3","64.7","63.0","66.5","14.8","13.9","15.6"
"Guatemala","2016","73.2","70.4","76.0","21.3","20.2","22.3","64.2","62.2","66.2","15.8","15.2","16.5"
"Guinea","2016","59.8","59.4","60.2","15.3","14.9","15.6","52.2","52.1","52.2","11.4","11.1","11.6"
"Guinea-Bissau","2016","59.8","58.4","61.2","15.2","14.6","15.7","51.7","50.6","52.9","10.9","10.2","11.4"
"Guyana","2016","66.2","63.6","69.0","16.8","15.8","17.8","58.3","56.4","60.4","12.9","12.2","13.7"
"Haiti","2016","63.5","61.3","65.7","17.7","16.7","18.6","55.3","53.9","56.8","13.2","12.6","13.7"
"Honduras","2016","75.2","72.9","77.5","22.4","21.0","23.7","66.8","65.1","68.5","17.1","16.0","18.2"
"Hungary","2016","76.0","72.3","79.4","20.1","17.4","22.3","66.8","64.1","69.5","15.1","13.0","16.7"
"Iceland","2016","82.4","80.9","83.9","24.7","23.7","25.6","73.0","72.3","73.8","19.6","19.0","20.3"
"India","2016","68.8","67.4","70.3","18.0","17.2","18.8","59.3","58.7","59.9","12.9","12.5","13.3"
"Indonesia","2016","69.3","67.3","71.4","16.7","15.4","18.0","61.7","60.4","63.0","12.7","11.8","13.6"
"Iran (Islamic Republic of)","2016","75.7","74.6","76.9","19.7","19.3","20.2","65.4","64.9","65.9","14.7","14.6","14.9"
"Iraq","2016","69.8","67.5","72.2","18.8","17.9","19.6","59.0","57.4","60.6","13.2","12.6","13.6"
"Ireland","2016","81.5","79.7","83.4","24.1","22.8","25.3","72.1","71.1","73.2","19.2","18.2","20.1"
"Israel","2016","82.3","80.3","84.2","24.7","23.3","26.0","72.9","71.7","74.1","19.6","18.5","20.5"
"Italy","2016","82.8","80.5","84.9","25.0","23.2","26.6","73.2","72.0","74.3","19.9","18.6","21.0"
"Jamaica","2016","76.0","73.6","78.5","22.5","21.3","23.7","66.9","65.3","68.5","17.5","16.7","18.3"
"Japan","2016","84.2","81.1","87.1","26.4","23.7","28.9","74.8","72.6","76.9","20.9","18.7","22.9"
"Jordan","2016","74.3","72.7","76.0","19.3","18.1","20.5","66.4","65.4","67.5","15.4","14.6","16.3"
"Kazakhstan","2016","71.1","66.8","75.3","17.7","15.0","19.7","63.4","59.9","66.7","13.9","11.9","15.5"
"Kenya","2016","66.7","64.4","68.9","18.6","17.7","19.4","58.9","57.0","60.8","14.2","13.4","14.9"
"Kiribati","2016","66.1","63.6","68.6","16.9","15.6","17.9","57.8","56.0","59.4","12.5","11.7","13.2"
"Kuwait","2016","74.8","73.9","76.0","17.9","17.6","18.4","66.3","66.3","66.2","14.1","14.2","13.9"
"Kyrgyzstan","2016","71.4","67.7","75.2","18.0","15.8","20.0","63.5","60.7","66.4","14.2","12.5","15.6"
"Lao People's Democratic Republic","2016","65.8","64.2","67.4","16.8","15.9","17.6","57.9","56.9","58.8","12.3","11.8","12.8"
"Latvia","2016","75.0","70.0","79.6","20.7","17.3","23.1","66.2","62.4","69.5","15.8","13.3","17.6"
"Lebanon","2016","76.3","75.1","77.7","19.8","18.8","21.0","66.1","65.5","66.8","14.8","14.2","15.6"
"Lesotho","2016","52.9","51.0","54.6","15.3","14.2","16.1","46.6","45.0","47.9","11.7","10.9","12.3"
"Liberia","2016","62.9","62.0","63.9","15.8","15.3","16.3","54.5","53.9","55.1","11.8","11.4","12.2"
"Libya","2016","71.9","69.0","75.0","18.3","16.8","19.8","62.3","60.5","64.2","13.3","12.5","14.2"
"Lithuania","2016","75.0","69.7","80.2","20.7","17.1","23.4","66.1","61.9","70.0","15.8","13.0","17.9"
"Luxembourg","2016","82.4","80.1","84.6","24.7","22.9","26.3","72.6","71.1","73.7","19.3","17.9","20.5"
"Madagascar","2016","66.1","64.6","67.6","17.1","16.4","17.7","58.3","57.1","59.5","13.1","12.6","13.6"
"Malawi","2016","64.2","61.4","66.8","17.4","16.0","18.5","56.2","53.9","58.4","12.8","11.7","13.7"
"Malaysia","2016","75.3","73.2","77.6","19.9","18.9","21.1","66.6","65.3","68.1","15.2","14.3","16.2"
"Maldives","2016","78.4","77.2","79.9","21.0","20.1","22.1","69.8","69.7","69.7","16.1","15.6","16.7"
"Mali","2016","58.0","57.5","58.4","15.4","15.3","15.5","50.7","50.4","51.0","11.5","11.4","11.6"
"Malta","2016","81.5","79.6","83.3","23.9","22.5","25.2","72.2","71.3","73.3","19.0","17.9","19.9"
"Mauritania","2016","63.9","62.6","65.2","16.5","15.8","17.1","56.4","55.6","57.2","12.4","11.9","12.8"
"Mauritius","2016","74.8","71.6","78.1","20.7","18.9","22.3","65.8","63.6","68.2","15.9","14.6","17.1"
"Mexico","2016","76.6","74.0","79.2","22.3","21.0","23.5","67.7","65.8","69.6","17.1","16.2","18.0"
"Micronesia (Federated States of)","2016","69.6","68.4","70.8","17.3","16.5","18.1","61.1","60.4","61.7","13.0","12.5","13.5"
"Mongolia","2016","69.8","65.7","74.2","17.3","15.2","19.2","61.9","58.6","65.5","13.3","11.7","14.7"
"Montenegro","2016","76.8","74.4","79.2","20.2","18.6","21.7","68.1","66.1","70.1","15.7","14.3","17.0"
"Morocco","2016","76.0","74.8","77.0","20.5","19.6","21.4","65.3","65.0","65.5","15.1","14.6","15.5"
"Mozambique","2016","60.1","57.7","62.3","17.9","17.0","18.5","52.2","50.3","53.9","13.0","12.3","13.5"
"Myanmar","2016","66.8","64.6","68.9","16.9","15.8","17.8","58.4","56.9","59.9","12.0","11.3","12.6"
"Namibia","2016","63.7","61.1","66.1","16.7","15.3","17.8","55.9","53.8","57.9","12.8","11.6","13.7"
"Nepal","2016","70.2","68.8","71.6","17.6","16.7","18.5","61.3","60.5","62.1","13.1","12.5","13.6"
"Netherlands","2016","81.6","80.0","83.2","24.0","22.5","25.3","72.1","71.3","72.8","18.9","17.8","19.9"
"New Zealand","2016","82.2","80.5","84.0","25.3","24.1","26.4","72.8","71.8","73.9","20.3","19.4","21.2"
"Nicaragua","2016","75.5","72.5","78.4","22.8","21.5","23.9","66.9","64.8","69.0","17.5","16.7","18.2"
"Niger","2016","59.8","59.0","60.8","16.2","15.6","16.8","52.5","52.0","53.1","11.9","11.5","12.4"
"Nigeria","2016","55.2","54.7","55.7","13.9","13.7","14.2","48.9","48.7","49.2","10.7","10.5","10.9"
"Norway","2016","82.5","80.6","84.3","24.7","23.2","26.1","73.0","71.8","74.3","19.6","18.4","20.7"
"Oman","2016","77.0","75.3","79.5","21.2","19.9","22.6","65.6","64.0","67.7","14.6","13.2","16.1"
"Pakistan","2016","66.5","65.7","67.4","17.8","17.6","18.1","57.7","57.6","57.9","13.0","13.0","12.9"
"Panama","2016","78.0","75.0","81.2","24.0","22.3","25.6","69.4","67.2","71.8","18.8","17.6","20.0"
"Papua New Guinea","2016","65.9","63.6","68.3","16.9","15.2","18.5","58.0","56.7","59.5","13.2","12.1","14.3"
"Paraguay","2016","74.2","72.4","76.1","21.2","20.1","22.4","65.3","64.2","66.4","16.3","15.6","17.0"
"Peru","2016","75.9","73.4","78.3","21.6","20.1","23.1","67.5","65.8","69.2","17.0","15.9","18.0"
"Philippines","2016","69.3","66.2","72.6","17.6","15.7","19.4","61.7","59.4","64.2","13.5","12.1","14.8"
"Poland","2016","77.8","73.8","81.6","21.8","19.1","24.1","68.5","65.4","71.7","16.6","14.5","18.4"
