700,Afghanistan,200,200,191908,0,2,-9,-9,-9,-9,-9,191908,191905,G&W add earlier indep from 1/1/1816-12/30/1888
339,Albania,640,640,191307,1,2,-9,-9,-9,-9,-9,191401,191301,COW system interrupted 4/1939-11/1944 (Ital/Ger occup); terr chg also codes 1945 return
615,Algeria,220,220,196207,1,2,-9,-9,-9,-9,-9,196207,196207,G&W add earlier indep from 1/1/1816-7/5/1830
540,Angola,235,235,197511,1,2,-9,-9,-9,-9,-9,197511,197511,-9
58,Antigua and Barbuda,200,200,198111,0,2,-9,-9,-9,-9,-9,198111,-9,Includes Antigua/Barbuda/Redonda islands
160,Argentina,230,230,181607,1,2,-9,-9,-9,-9,-9,184101,181607,-9
371,Armenia,640,365,199112,0,3,-9,-9,-9,-9,-9,199112,199112,Terr chg also includes 1918 violent secession (but not system entry); previously under Ottoman/Persian rule; parts ceded to Russia in 1828-89 and 1878
900,Australia,200,200,190101,0,1,-9,-9,-9,-9,-9,192001,190101,-9
305,Austria,-9,300,128212,1,4,300,191811,1,-9,-9,191909,191811,Emerged from breakup of Hapsburg Empire; COW system interrupted 3/1939-4/1945 (German annexation) & 4/1945-7/1955 (Allied occupation);  Terr chg & Polity2 treat as continuation of Austria-Hungary / COW system codes as separate state number
373,Azerbaijan,365,365,199112,0,3,-9,-9,-9,-9,-9,199112,199112,Terr chg also includes 1918 violent secession (but not system entry); under Ottoman/Persian rule until Russian conquest in early 19th century
31,Bahamas,200,200,197307,0,2,-9,-9,-9,-9,-9,197307,197307,-9
692,Bahrain,200,200,197108,0,2,-9,-9,-9,-9,-9,197108,197108,-9
771,Bangladesh,200,770,197112,1,3,770,197112,1,-9,-9,197112,197112,"Terr chg includes the indep case as well as an ""initial system membership list"" entrry (???)"
53,Barbados,200,200,196611,0,2,-9,-9,-9,-9,-9,196611,196611,-9
370,Belarus,365,365,199112,0,3,-9,-9,-9,-9,-9,199112,199108,Under Polish rule until obtained by Russia in partitions of Poland
211,Belgium,210,210,183010,1,3,210,183010,1,-9,-9,183012,183010,COW system interrupted 5/1940-6/1945 (Ger occup); seceded from Netherlands in 1830-31 (recognized by Dutch in 1839)
80,Belize,200,200,198109,0,2,-9,-9,-9,-9,-9,198109,198109,-9
434,Benin,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,Part of French West Africa
760,Bhutan,200,750,194708,0,2,-9,-9,-9,-9,-9,197109,194901,Ruled by Chinese before British/Indians; British end date=indep of India
145,Bolivia,230,230,182508,1,2,-9,-9,-9,-9,-9,184801,182508,Part of Peru-Bolivia Confederation from 1836-9 (not in COW or G&W system); was part of Peru and later Arg. under Spanish rule
346,Bosnia and Herzegovina,640,345,199203,1,3,345,199203,1,-9,-9,199204,199204,Acquired by Austria from Turkey in 1878 Treaty of Berlin
571,Botswana,200,200,196609,0,2,-9,-9,-9,-9,-9,196609,196609,-9
140,Brazil,235,235,182209,0,2,-9,-9,-9,-9,-9,182209,182209,-9
835,Brunei,200,200,198401,0,2,-9,-9,-9,-9,-9,198401,198401,-9
355,Bulgaria,640,640,187803,1,2,-9,-9,-9,-9,-9,190810,187803,-9
439,Burkina Faso,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,Part of Upper Senegal-Niger colony (with Mali)
516,Burundi,211,211,196207,0,2,-9,-9,-9,-9,-9,196207,196207,Part of German East Africa until granted to Belgium as League mandate / UN trust
811,Cambodia,220,220,195311,1,2,-9,-9,-9,-9,-9,195311,195311,Ruled by Siam before French acquisition in 1863
471,Cameroon,220,220,196001,1,2,-9,-9,-9,-9,-9,196001,196001,French/British League/UN trust - British sector split between Nigeria & Cameroon
20,Canada,200,200,186707,0,2,-9,-9,-9,-9,-9,192001,186707,Independent but not a COW system member from 1867-1920 due to British control of foreign policy
402,Cape Verde,235,235,197507,0,2,-9,-9,-9,-9,-9,197507,197507,Associated with Guinea-Bissau from 1976-81
482,Central African Republic,220,220,196010,0,2,-9,-9,-9,-9,-9,196008,196008,Part of Ubangi-Shari-Chad 1906-10 & French Equatorial Africa 1910-20
483,Chad,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,Part of French Equatorial Africa 1910-20
155,Chile,230,230,181802,1,2,-9,-9,-9,-9,-9,183901,181804,-9
710,China,-9,-9,194911,1,1,-9,-9,-9,-9,-9,186010,181601,-9
100,Colombia,230,230,181912,1,2,-9,-9,-9,-9,-9,183101,183009,I (and COW) consider Gran Colombia (G&W system: 8/30/1821-9/22/1830) same entity as Colombia
581,Comoros,220,220,197507,0,2,-9,-9,-9,-9,-9,197512,197507,Includes Grande Comore/Anjouan/Moheli Islands (Mayotte remained French)
484,Republic of the Congo,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,-9
94,Costa Rica,230,89,183811,1,3,89,183811,1,-9,-9,192001,184001,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
437,Côte d'Ivoire,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,Part of French West Africa
344,Croatia,300,345,199106,1,3,345,199106,1,-9,-9,199201,199106,Polity2 codes earlier indep in 1830
40,Cuba,230,2,195901,0,2,-9,-9,-9,-9,-9,190205,190205,COW system interrupted 9/1906-1/1909 (US occup); indep from USA coded as nonviolent (but long revolt against Spanish rule before USA acquired Cuba)
352,Cyprus,200,200,196008,1,2,-9,-9,-9,-9,-9,196008,196008,-9
316,Czechia,300,315,191810,0,4,315,199301,0,-9,-9,199301,199301,"Emerged from breakup of Czechoslovakia (""Velvet Divorce"")"
490,Democratic Republic of the Congo,211,211,196006,1,2,-9,-9,-9,-9,-9,196006,196006,-9
390,Denmark,-9,-9,098000,0,1,-9,-9,-9,-9,-9,181601,181601,COW system interrupted 4/1940-5/1945 (Ger occup)
522,Djibouti,220,220,197706,0,2,-9,-9,-9,-9,-9,197706,197706,-9
42,Dominican Republic,230,41,184402,1,3,41,184402,1,-9,-9,189401,184402,COW system interrupted 11/1916-9/1924 (US occup); terr chg data incl 1865 indep from Spain; ruled by Haiti (not a COW system member) from 1822 to 1844 revolution
860,Timor-Leste,235,850,200205,1,2,-9,-9,-9,-9,-9,200209,200205,Formerly Portuguese Timor
130,Ecuador,230,100,183005,0,3,100,183005,0,-9,-9,185401,183005,Seceded from Gran Colombia (not in COW system; in G&W system 8/30/1821-9/22/1830)
651,Egypt,640,640,183111,0,2,-9,-9,-9,-9,-9,185501,182701,Also occupied by British from 1882-1922 (rejoins COW 5/1937 & G/W 2/1922)
92,El Salvador,230,89,184004,1,3,89,184004,1,-9,-9,187501,184001,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
411,Equatorial Guinea,230,230,196810,0,2,-9,-9,-9,-9,-9,196810,196810,-9
531,Eritrea,325,530,199305,1,3,530,199305,1,-9,-9,199305,199305,British occupied in 1941 & administered under UN trust from 1949-52; seceded from Ethiopia after long war
366,Estonia,365,365,191811,1,2,365,199109,0,-9,-9,191802,191811,Absorbed into USSR from 6/1940 until seceded 9/1991; acquired by Russia from Sweden in 1710; broke off from Russia in 1918
572,eSwatini,200,200,196809,0,2,-9,-9,-9,-9,-9,196809,196809,-9
530,Ethiopia,-9,-9,185502,1,1,-9,-9,-9,-9,-9,189801,185502,COW system interrupted 5/1936-5/1941 (Ital occup); terr chg only includes 1941 restoration
987,Federated States of Micronesia,2,2,198611,0,2,-9,-9,-9,-9,-9,199109,-9,Includes Caroline Islands except Palau
950,Fiji,200,200,197010,0,2,-9,-9,-9,-9,-9,197010,197010,-9
375,Finland,-9,365,191712,1,2,-9,-9,-9,-9,-9,191712,191712,Ceded by Sweden to Russia in 1809 after war
220,France,-9,-9,094308,1,1,-9,-9,-9,-9,-9,181601,181601,COW system interrupted 11/1942-8/1944 (Ger occup)
481,Gabon,220,220,196008,0,2,-9,-9,-9,-9,-9,196008,196008,Part of French Equatorial Africa
420,Gambia,200,200,196502,0,2,-9,-9,-9,-9,-9,196502,196502,Part of limited 1982-89 Senegambia confederation with Senegal
372,Georgia,365,365,199112,0,3,-9,-9,-9,-9,-9,199112,199109,Terr chg also includes 1918 violent secession (but not system entry); previously under Armenia-Persian-Turkish control before annexed by Russia in 1801
255,Germany,-9,-9,161807,0,1,-9,-9,-9,-9,-9,181601,181601,COW system interrupted 5/1945-10/1990 (split into East-West Germany); Polity codes indep of Germany (violent unification) in 1871 / COW codes unified Germany as continuation of #255 Prussia
452,Ghana,200,200,195703,0,2,-9,-9,-9,-9,-9,195703,195703,-9
350,Greece,640,640,182908,1,2,-9,-9,-9,-9,-9,182801,182804,COW system interrupted 4/1941-10/1944 (Ger occup); won independence from Ottoman Empire 1821-9 war (COW: joins system 1/1/1828)
55,Grenada,200,200,197402,0,2,-9,-9,-9,-9,-9,197402,-9,Founded by French but ceded to British in 1763
90,Guatemala,230,89,183904,1,3,89,183904,1,-9,-9,186801,182307,Seceded from United States/Provinces of Cent.Am. (not in COW system; G&W 7/1/1823-12/31/1839)
438,Guinea,220,220,195810,0,2,-9,-9,-9,-9,-9,195810,195810,Administered as Rivieres du Sud with Senegal until 1893; part of French W Africa
404,Guinea-Bissau,235,235,197409,0,2,-9,-9,-9,-9,-9,197409,197409,-9
110,Guyana,200,200,196605,0,2,-9,-9,-9,-9,-9,196605,196605,Founded by Dutch but ceded to British in 1814
41,Haiti,220,220,180401,1,2,-9,-9,-9,-9,-9,185901,181601,COW system interrupted 7/1915-8/1934 (US occup)
